pincode,area,lat,lng,district,state,type
110001,New Delhi G.P.O.,28.6369,77.2183,New Delhi,Delhi,unknown
110002,Civic Centre,28.6109,77.214,New Delhi,Delhi,unknown
110003,Delhi High Court,28.6431,77.2197,Central Delhi,Delhi,unknown
110004,Rashtrapati Bhawan,28.6455,77.205,Central Delhi,Delhi,unknown
110005,Anand Parbat,28.6431,77.2197,Central Delhi,Delhi,unknown
110006,Delhi Sadar Bazar,28.7106,77.2115,North Delhi,Delhi,unknown
110007,Delhi University,28.6764,77.2074,North Delhi,Delhi,unknown
110008,Patel Nagar East,28.6431,77.2197,Central Delhi,Delhi,unknown
110009,Model Town III,28.7121,77.206,North West Delhi,Delhi,unknown
110010,505 A B Workshop,28.5724,77.0274,South West Delhi,Delhi,unknown
110011,South Avenue,28.6431,77.2197,Central Delhi,Delhi,unknown
110012,Inderpuri,28.6431,77.2197,Central Delhi,Delhi,unknown
110013,Hazrat Nizamuddin,28.5878,77.2541,South Delhi,Delhi,unknown
110014,Jungpura,28.5014,77.2274,South Delhi,Delhi,unknown
110015,Karam Pura,28.6553,77.0657,West Delhi,Delhi,unknown
110016,IT Hauz Khas,28.5531,77.1916,South West Delhi,Delhi,unknown
110017,Saket (South Delhi),28.5189,77.2131,South Delhi,Delhi,unknown
110018,Mahabir Nagar,28.6396,77.0884,West Delhi,Delhi,unknown
110019,Nehru Place,28.5014,77.2274,South Delhi,Delhi,unknown
110020,F F C Okhla,28.6109,77.214,New Delhi,Delhi,unknown
110021,Moti Bagh,28.5818,77.1793,South West Delhi,Delhi,unknown
110022,R K Puram Sect-3,28.5724,77.0274,South West Delhi,Delhi,unknown
110023,Netaji Nagar (South West Delhi),28.5724,77.0274,South West Delhi,Delhi,unknown
110024,Krishna Market,28.5724,77.2365,South Delhi,Delhi,unknown
110025,New Friends Colony,28.5672,77.2725,South Delhi,Delhi,unknown
110026,Punjabi Bagh Sec - III,28.6709,77.141,West Delhi,Delhi,unknown
110027,Subhash Nagar West,28.6553,77.0657,West Delhi,Delhi,unknown
110028,Naraina Village,28.5724,77.0274,South West Delhi,Delhi,unknown
110029,Nauroji Nagar,28.6109,77.214,New Delhi,Delhi,unknown
110030,Paryavaran Complex,28.5724,77.0274,South West Delhi,Delhi,unknown
110031,Gandhi Nagar (East Delhi),28.6548,77.2752,East Delhi,Delhi,unknown
110032,Babarpur (North East Delhi),28.6875,77.2856,North East Delhi,Delhi,unknown
110033,Adrash Nagar,28.716,77.1429,North West Delhi,Delhi,unknown
110034,Shakurbasti Rs,28.716,77.1429,North West Delhi,Delhi,unknown
110035,Keshav Puram (North West Delhi),28.6772,77.1573,North West Delhi,Delhi,unknown
110036,Mukhmelpur,28.8127,77.1616,North West Delhi,Delhi,unknown
110037,Gurgaon Road,28.548,77.1133,South West Delhi,Delhi,unknown
110038,A F Rajokari,28.5724,77.0274,South West Delhi,Delhi,unknown
110039,Auchandi,28.8203,76.9962,North West Delhi,Delhi,unknown
110040,Kanya Gurukul,28.8408,77.0939,North West Delhi,Delhi,unknown
110041,Bakkarwala,28.6735,77.014,West Delhi,Delhi,unknown
110042,Siraspur,28.7581,77.1309,North West Delhi,Delhi,unknown
110043,Gopal Nagar,28.6109,77.214,New Delhi,Delhi,unknown
110044,Tugalkabad,28.5027,77.3084,South Delhi,Delhi,unknown
110045,Durga Park,28.6553,77.0657,West Delhi,Delhi,unknown
110046,Nangal Raya,28.6093,77.1118,South West Delhi,Delhi,unknown
110047,Aya Nagar,28.5724,77.0274,South West Delhi,Delhi,unknown
110048,Kailash Colony,28.5589,77.2531,South Delhi,Delhi,unknown
110049,Gulmohar Park,28.5014,77.2274,South Delhi,Delhi,unknown
110050,Safdarjung Sorting Delivery Office,28.5014,77.2274,South Delhi,Delhi,unknown
110051,Govind Pura,28.6292,77.298,East Delhi,Delhi,unknown
110052,Satyawati Nagar,28.7688,77.0869,North West Delhi,Delhi,unknown
110053,Bhajan Pura,28.6866,77.2732,North East Delhi,Delhi,unknown
110054,Aruna Nagar,28.6921,77.2245,North Delhi,Delhi,unknown
110055,A.K.Market,28.6417,77.2132,Central Delhi,Delhi,unknown
110056,New Multan Nagar,28.7688,77.0869,North West Delhi,Delhi,unknown
110057,Vasant Vihar-1,28.5724,77.0274,South West Delhi,Delhi,unknown
110058,Janakpuri B-1,28.6553,77.0657,West Delhi,Delhi,unknown
110059,K-5 Extension Mohan  Garden,28.6553,77.0657,West Delhi,Delhi,unknown
110060,Rajender Nagar,28.6431,77.2197,Central Delhi,Delhi,unknown
110061,Shahbad Mohammadpur,28.5346,77.0536,South West Delhi,Delhi,unknown
110062,Deoli,28.5025,77.2312,South Delhi,Delhi,unknown
110063,Paschim Vihar,28.6553,77.0657,West Delhi,Delhi,unknown
110064,Hari Nagar BE Block,28.6553,77.0657,West Delhi,Delhi,unknown
110065,Sant Nagar (South Delhi),28.5619,77.2553,South Delhi,Delhi,unknown
110066,R K Puram (Main),28.5724,77.0274,South West Delhi,Delhi,unknown
110067,JNU New Campus,28.5553,77.1743,South West Delhi,Delhi,unknown
110068,Maidan Garhi,28.5724,77.0274,South West Delhi,Delhi,unknown
110069,Union Public Service Commission,28.6431,77.2197,Central Delhi,Delhi,unknown
110070,Masood Pur,28.5439,77.1523,South West Delhi,Delhi,unknown
110071,Qutub Vihar,28.6553,77.0657,West Delhi,Delhi,unknown
110072,CRPF Jharoda Kalan,28.6526,76.9521,South West Delhi,Delhi,unknown
110073,Dhansa,28.6553,77.0657,West Delhi,Delhi,unknown
110074,Sanjay Colony Bhati Mines,28.5724,77.0274,South West Delhi,Delhi,unknown
110075,Amberhai,28.5458,77.0784,South West Delhi,Delhi,unknown
110076,Sarita Vihar,28.525,77.3062,South Delhi,Delhi,unknown
110077,Palam Extn (Harijan Basti),28.6553,77.0657,West Delhi,Delhi,unknown
110078,GGSIP University,28.6553,77.0657,West Delhi,Delhi,unknown
110080,Sangam Vihar,28.5014,77.2274,South Delhi,Delhi,unknown
110081,Karala,28.7355,77.0352,North West Delhi,Delhi,unknown
110082,Holambi Kalan,28.8044,77.0969,North West Delhi,Delhi,unknown
110083,Mangolpuri S Block,28.7441,77.0732,North West Delhi,Delhi,unknown
110084,Jharoda Majraa,28.7486,77.2096,North Delhi,Delhi,unknown
110085,Rohini Sector 5,28.7201,77.1027,North West Delhi,Delhi,unknown
110086,Prem Nagar,28.7441,77.0732,North West Delhi,Delhi,unknown
110087,Sunder Vihar,28.6553,77.0657,West Delhi,Delhi,unknown
110088,Haiderpur,28.7219,77.159,North West Delhi,Delhi,unknown
110089,Rohini Sector 15,28.7441,77.0732,North West Delhi,Delhi,unknown
110090,Shaheed Bhagat Singh Colony,28.7077,77.274,North East Delhi,Delhi,unknown
110091,Trilok Puri,28.6063,77.3045,East Delhi,Delhi,unknown
110092,Nirman Vihar,28.6266,77.2794,East Delhi,Delhi,unknown
110093,Mandoli Saboli,28.7077,77.274,North East Delhi,Delhi,unknown
110094,Sabhapur,28.7688,77.0869,North West Delhi,Delhi,unknown
110095,Jhilmil Tahirpur,28.6114,77.2982,East Delhi,Delhi,unknown
110096,Mayur Vihar Ph-III,28.6114,77.2982,East Delhi,Delhi,unknown
110097,Kapashera.,28.5724,77.0274,South West Delhi,Delhi,unknown
110098,AMPC Delivery,28.6109,77.214,New Delhi,Delhi,unknown
110100,Foreign Post Delhi IBC,28.6431,77.2197,Central Delhi,Delhi,unknown
121001,Nh-4 Faridabad,28.3327,77.3548,Faridabad,Haryana,unknown
121002,Faridabad Sector 16a,28.4172,77.393,Faridabad,Haryana,unknown
121003,Gurukul Indraprashtha,28.4651,77.3329,Faridabad,Haryana,unknown
121004,Dhauj,28.3408,77.1941,Faridabad,Haryana,unknown
121005,Faridabad Sector 22,28.3327,77.3548,Faridabad,Haryana,unknown
121006,Faridabad Sector 7,28.3327,77.3548,Faridabad,Haryana,unknown
121007,Faridabad Sector 15,28.3327,77.3548,Faridabad,Haryana,unknown
121008,Faridabad Sector 29,28.3327,77.3548,Faridabad,Haryana,unknown
121009,Surajkund Faridabad,28.3327,77.3548,Faridabad,Haryana,unknown
121010,SECTOR-46,28.3327,77.3548,Faridabad,Haryana,unknown
121012,Sector-21D,28.3327,77.3548,Faridabad,Haryana,unknown
121013,Sec-91,28.3327,77.3548,Faridabad,Haryana,unknown
121014,Greater Faridabad,28.3327,77.3548,Faridabad,Haryana,unknown
121015,Sector 55,28.3327,77.3548,Faridabad,Haryana,unknown
121101,Alipur,28.369,77.4496,Faridabad,Haryana,unknown
121102,Teekri Brahman,28.3327,77.3548,Faridabad,Haryana,unknown
121103,Kot,28.3327,77.3548,Faridabad,Haryana,unknown
121105,Seeha,28.3327,77.3548,Faridabad,Haryana,unknown
121106,Ali Meo,28.3327,77.3548,Faridabad,Haryana,unknown
121107,Hassanpur,28.3327,77.3548,Faridabad,Haryana,unknown
122001,Gurgaon Kty.,28.418,76.9839,Gurgaon,Haryana,unknown
122002,DLF QE,28.418,76.9839,Gurgaon,Haryana,unknown
122003,Gurgaon Sector 45,28.418,76.9839,Gurgaon,Haryana,unknown
122004,Sikanderpur,28.4077,76.9836,Gurgaon,Haryana,unknown
122005,Air Force,28.418,76.9839,Gurgaon,Haryana,unknown
122006,Railwary Road,28.4592,76.985,Gurgaon,Haryana,unknown
122007,Industrial Estate (Gurgaon),28.418,76.9839,Gurgaon,Haryana,unknown
122008,DLF Ph-II,28.418,76.9839,Gurgaon,Haryana,unknown
122009,Galleria DLF-IV,28.418,76.9839,Gurgaon,Haryana,unknown
122010,DLF Ph-III,28.4001,76.9661,Gurgaon,Haryana,unknown
122011,Gurgaon Sector 56,28.4001,76.9661,Gurgaon,Haryana,unknown
122012,Vatika India Sector 82 Gurgaon,28.4001,76.9661,Gurgaon,Haryana,unknown
122015,Palam Road,28.4001,76.9661,Gurgaon,Haryana,unknown
122016,Industrial Complex Dundahera,28.4001,76.9661,Gurgaon,Haryana,unknown
122017,Palam Vihar (Gurgaon),28.4001,76.9661,Gurgaon,Haryana,unknown
122018,Gurgaon South City II,28.4001,76.9661,Gurgaon,Haryana,unknown
122051,Kasan,28.3574,76.9026,Gurgaon,Haryana,unknown
122052,IMT Manesar,28.3553,76.9215,Gurgaon,Haryana,unknown
122098,CRPF Kadarpur,28.4001,76.9661,Gurgaon,Haryana,unknown
122101,Kadipur,28.3681,76.9408,Gurgaon,Haryana,unknown
122102,Kherla,28.3681,76.9408,Gurgaon,Haryana,unknown
122103,KherliLala,28.3681,76.9408,Gurgaon,Haryana,unknown
122104,Doha,28.3681,76.9408,Gurgaon,Haryana,unknown
122105,Rathiwas,28.262,76.8518,Gurgaon,Haryana,unknown
122107,Kurthala,28.3681,76.9408,Gurgaon,Haryana,unknown
122108,Sakras,28.3681,76.9408,Gurgaon,Haryana,unknown
122413,Dhani Chitarsain,28.3681,76.9408,Gurgaon,Haryana,unknown
122414,Khor,28.2948,76.7445,Gurgaon,Haryana,unknown
122502,Jagat,28.3681,76.9408,Gurgaon,Haryana,unknown
122503,Janaula,28.3392,76.8028,Gurgaon,Haryana,unknown
122504,Jataula,28.383,76.7989,Gurgaon,Haryana,unknown
122505,Dhankot,28.4741,76.9593,Gurgaon,Haryana,unknown
122506,Sultanpur,28.4616,76.8708,Gurgaon,Haryana,unknown
122508,Baded,28.3681,76.9408,Gurgaon,Haryana,unknown
123001,Narnaul H.O,28.0799,76.0612,Mahendragarh,Haryana,unknown
123021,Gujarwas,28.1729,76.1432,Mahendragarh,Haryana,unknown
123023,Nangal Dargu,28.1729,76.1432,Mahendragarh,Haryana,unknown
123024,Nawan,28.1729,76.1432,Mahendragarh,Haryana,unknown
123027,Kheri,28.0486,76.3417,Mahendragarh,Haryana,unknown
123028,Nangal Sirohi,28.1904,76.1312,Mahendragarh,Haryana,unknown
123029,Mandola,28.1729,76.1432,Mahendragarh,Haryana,unknown
123031,CUH M.Garh,28.1729,76.1432,Mahendragarh,Haryana,unknown
123034,Bhucholi,28.1729,76.1432,Mahendragarh,Haryana,unknown
123035,Asiaki Gorawas,28.3371,76.6499,Rewari,Haryana,unknown
123101,Pithrawas,28.1814,76.518,Rewari,Haryana,unknown
123102,Gothra,28.1673,76.4131,Rewari,Haryana,unknown
123103,Mandola,28.231,76.373,Rewari,Haryana,unknown
123106,Raliawas,28.1588,76.7177,Rewari,Haryana,unknown
123110,Industrial Area Dharuhera,28.1937,76.5265,Rewari,Haryana,unknown
123301,Jakhala,28.3848,76.5351,Rewari,Haryana,unknown
123302,Shyam Nagar,28.3498,76.5026,Rewari,Haryana,unknown
123303,Kohrar,28.1729,76.1432,Mahendragarh,Haryana,unknown
123401,Bharawas,28.1475,76.5702,Rewari,Haryana,unknown
123411,Dahina,28.1729,76.1432,Mahendragarh,Haryana,unknown
123412,Dharan,28.1729,76.1432,Mahendragarh,Haryana,unknown
123501,Bawal,28.1729,76.1432,Mahendragarh,Haryana,unknown
124001,Model Town (Rohtak),28.8917,76.6118,Rohtak,Haryana,unknown
124010,Marodi Jatan,28.8571,76.5513,Rohtak,Haryana,unknown
124021,Bohar,28.8969,76.6537,Rohtak,Haryana,unknown
124022,Basana,28.8939,76.3718,Rohtak,Haryana,unknown
124102,Chamanpura,28.6679,76.5496,Jhajjar,Haryana,unknown
124103,Dadanpur,28.5053,76.662,Jhajjar,Haryana,unknown
124104,Kheri Asra,28.6594,76.7247,Jhajjar,Haryana,unknown
124105,Gubhana,28.6019,76.8432,Jhajjar,Haryana,unknown
124106,Sehlenga,28.5606,76.4471,Jhajjar,Haryana,unknown
124107,Gochhi,28.7316,76.5971,Jhajjar,Haryana,unknown
124108,Khudan,28.4629,76.6158,Jhajjar,Haryana,unknown
124109,Khetawas,28.5481,76.518,Jhajjar,Haryana,unknown
124111,Girawar,28.957,76.4015,Rohtak,Haryana,unknown
124112,Farmana,29.0495,76.3494,Rohtak,Haryana,unknown
124113,Katesra,28.9145,76.5292,Rohtak,Haryana,unknown
124141,Power Plant Jharli,28.9145,76.5292,Rohtak,Haryana,unknown
124142,Khanpur Khurd,28.4703,76.3532,Jhajjar,Haryana,unknown
124146,Akheri Madanpur,28.482,76.4931,Jhajjar,Haryana,unknown
124201,Dhaur,28.6555,76.6092,Jhajjar,Haryana,unknown
124202,Majra,28.6681,76.455,Jhajjar,Haryana,unknown
124303,Khidwali,29.0038,76.6257,Rohtak,Haryana,unknown
124401,Baliana,28.8803,76.6922,Rohtak,Haryana,unknown
124404,Samchana,28.8379,76.8077,Rohtak,Haryana,unknown
124406,Humayunpur,28.8992,76.8172,Rohtak,Haryana,unknown
124411,Banyani,28.8308,76.4667,Rohtak,Haryana,unknown
124412,Sundana,28.7826,76.5292,Rohtak,Haryana,unknown
124501,Kharhar,28.9145,76.5292,Rohtak,Haryana,unknown
124504,Charra,28.7918,76.8258,Jhajjar,Haryana,unknown
124505,Kanonda,28.7554,76.904,Jhajjar,Haryana,unknown
124506,Tandaheri,28.691,76.8561,Jhajjar,Haryana,unknown
124507,I.A.Bahadurgarh,28.7918,76.8258,Jhajjar,Haryana,unknown
124508,Goela Kalan,28.6199,76.7885,Jhajjar,Haryana,unknown
124513,Nindana,28.9642,76.4989,Rohtak,Haryana,unknown
124514,Sunderpur,28.9145,76.5292,Rohtak,Haryana,unknown
125001,Hisar  Nai Mandi,29.0755,75.7562,Hisar,Haryana,unknown
125004,Shahpur,29.1612,75.6162,Hisar,Haryana,unknown
125005,Urban Estate  2 Hhisar,29.0365,75.8648,Hisar,Haryana,unknown
125006,Ladwa,29.0689,75.8018,Hisar,Haryana,unknown
125007,Chirod,29.0251,75.6081,Hisar,Haryana,unknown
125011,Glf Hisar,29.3034,75.7113,Hisar,Haryana,unknown
125033,Kumbha,29.1316,76.0744,Hisar,Haryana,unknown
125037,Muzadpur,28.9775,75.8718,Hisar,Haryana,unknown
125038,Sulchani,29.2127,76.1817,Hisar,Haryana,unknown
125039,Narnaund,29.2205,76.1428,Hisar,Haryana,unknown
125042,Kharkhara,29.1013,76.0946,Hisar,Haryana,unknown
125044,Bhagana,29.0713,75.8534,Hisar,Haryana,unknown
125047,Gorakhpur,29.2151,75.8156,Hisar,Haryana,unknown
125048,Badopal,29.4155,75.5503,Fatehabad,Haryana,unknown
125049,Maijod,29.0922,76.1501,Hisar,Haryana,unknown
125050,Bighar,29.4899,75.448,Fatehabad,Haryana,unknown
125051,Nathwan,29.6744,75.6115,Fatehabad,Haryana,unknown
125052,Bagla,29.5764,75.5792,Fatehabad,Haryana,unknown
125053,Ban Mandori,29.3462,75.3221,Fatehabad,Haryana,unknown
125054,Bahaudin,29.5202,75.28,Sirsa,Haryana,unknown
125055,Ferozabad,29.4805,74.8568,Sirsa,Haryana,unknown
125056,JCD Vidyapeeth Sirsa,29.6148,74.9015,Sirsa,Haryana,unknown
125058,Mochiwali,29.4765,75.2551,Sirsa,Haryana,unknown
125060,Darbi,29.5782,75.1524,Sirsa,Haryana,unknown
125075,Balasar,29.6148,74.9015,Sirsa,Haryana,unknown
125076,Rania,29.5245,74.8369,Sirsa,Haryana,unknown
125077,Khairkan,29.7831,74.8784,Sirsa,Haryana,unknown
125078,Kurangawali,29.7767,75.0705,Sirsa,Haryana,unknown
125101,Chautala,29.7827,74.5238,Sirsa,Haryana,unknown
125102,Mauju Khera,29.3814,75.0372,Sirsa,Haryana,unknown
125103,Ganga,29.7854,74.673,Sirsa,Haryana,unknown
125104,Abubshahar,29.9038,74.6887,Sirsa,Haryana,unknown
125106,Dharsul Kalan,29.6786,75.7249,Fatehabad,Haryana,unknown
125110,Hanziran,29.3608,75.1205,Sirsa,Haryana,unknown
125111,Jandli Khurd,29.5118,75.6472,Fatehabad,Haryana,unknown
125112,Khairi,29.2151,75.8156,Hisar,Haryana,unknown
125113,Bowan,29.5764,75.5792,Fatehabad,Haryana,unknown
125120,Dangra,29.6805,75.8935,Fatehabad,Haryana,unknown
125121,Panihari,29.2151,75.8156,Hisar,Haryana,unknown
125133,Meond Khurd,29.6789,75.4207,Fatehabad,Haryana,unknown
125201,Rori,29.7437,75.203,Sirsa,Haryana,unknown
126101,Karsaula,29.3073,76.3966,Jind,Haryana,unknown
126102,Ram Rai,29.3166,76.293,Jind,Haryana,unknown
126110,Dalamwala,29.3868,76.3833,Jind,Haryana,unknown
126111,Durana,29.4354,76.3009,Jind,Haryana,unknown
126112,Dharamgarh,29.4354,76.3009,Jind,Haryana,unknown
126113,Assan,29.2537,76.4508,Jind,Haryana,unknown
126114,Kinana,29.2399,76.3392,Jind,Haryana,unknown
126115,Gogrian,29.4422,76.1858,Jind,Haryana,unknown
126116,Sinsar,29.6014,76.2028,Jind,Haryana,unknown
126125,Sandil,29.5683,76.3366,Jind,Haryana,unknown
126152,Mangalpur,29.5109,76.073,Jind,Haryana,unknown
127021,Birla Colony Bhiwani,28.6418,75.9763,Bhiwani,Haryana,unknown
127022,Chang Road,28.4948,76.2706,Bhiwani,Haryana,unknown
127025,Malkosh,28.7792,76.3416,Bhiwani,Haryana,unknown
127026,Atela Khurd,28.5898,76.096,Bhiwani,Haryana,unknown
127027,Sai,28.8839,76.2535,Bhiwani,Haryana,unknown
127028,Matani,28.7307,75.5641,Bhiwani,Haryana,unknown
127029,Hetampura,28.6999,75.9885,Bhiwani,Haryana,unknown
127030,Dhabdhani,29.0425,76.1726,Bhiwani,Haryana,unknown
127031,Mitathal,28.8824,76.1816,Bhiwani,Haryana,unknown
127032,Siwara,28.9719,76.1006,Bhiwani,Haryana,unknown
127035,Rohnat,28.9625,75.9572,Bhiwani,Haryana,unknown
127040,Dhani Mahu,28.8716,75.8278,Bhiwani,Haryana,unknown
127041,Siwana,29.0058,76.0603,Bhiwani,Haryana,unknown
127042,Sanwar (Bhiwani),28.7104,76.2917,Bhiwani,Haryana,unknown
127043,Bhariwas,28.5942,75.9673,Bhiwani,Haryana,unknown
127045,Barwa,28.9638,75.6054,Bhiwani,Haryana,unknown
127046,Jhumpa Kalan,28.7712,75.5312,Bhiwani,Haryana,unknown
127111,Biran,28.831,76.0085,Bhiwani,Haryana,unknown
127114,Kalinga,28.818,76.2743,Bhiwani,Haryana,unknown
127201,Chahar Khurd,28.605,75.6955,Bhiwani,Haryana,unknown
127306,Paitawas Kalan,28.606,76.3017,Bhiwani,Haryana,unknown
127307,Achina,28.674,76.3722,Bhiwani,Haryana,unknown
127308,Dalawas,28.7179,75.9676,Bhiwani,Haryana,unknown
127309,Kaila,28.8431,76.1831,Bhiwani,Haryana,unknown
127310,Jawa,28.5039,76.0992,Bhiwani,Haryana,unknown
127311,Kitlana,28.6783,76.1758,Bhiwani,Haryana,unknown
127312,Berla,28.5104,76.0178,Bhiwani,Haryana,unknown
131001,Rathdhana,28.9513,77.0597,Sonipat,Haryana,unknown
131021,Bahalgarh,28.9582,77.0971,Sonipat,Haryana,unknown
131022,Salimsar Majra,28.9972,76.9011,Sonipat,Haryana,unknown
131023,Jhundpur,28.9536,77.1692,Sonipat,Haryana,unknown
131024,Juan,29.0658,76.9012,Sonipat,Haryana,unknown
131027,Murthal,29.0402,77.0927,Sonipat,Haryana,unknown
131028,Sersa,28.8684,77.1454,Sonipat,Haryana,unknown
131029,Jatheri,29.0617,76.8795,Sonipat,Haryana,unknown
131030,TDI City Kundli,29.098,77.0684,Sonipat,Haryana,unknown
131039,Pipli Khera,29.0965,77.0669,Sonipat,Haryana,unknown
131101,Ganaur City,29.1364,77.0297,Sonipat,Haryana,unknown
131102,Panchijatan,29.1578,76.8968,Sonipat,Haryana,unknown
131103,Halalpur,28.8649,77.0092,Sonipat,Haryana,unknown
131301,Bhainswan Khurd,29.0924,76.6755,Sonipat,Haryana,unknown
131302,Nuran Khera,29.2027,76.5838,Sonipat,Haryana,unknown
131304,Banwasa,29.1436,76.5636,Sonipat,Haryana,unknown
131305,Khanpur Kalan,29.161,76.7922,Sonipat,Haryana,unknown
131306,Jawahra,29.2601,76.7901,Sonipat,Haryana,unknown
131402,Barona,29.0617,76.8795,Sonipat,Haryana,unknown
131403,Badhana,29.0617,76.8795,Sonipat,Haryana,unknown
131408,Garhi Sisana ED,29.1613,76.674,Sonipat,Haryana,unknown
131409,Anwali,29.0001,76.7548,Sonipat,Haryana,unknown
132001,Karnal New Prem Nagar,29.6875,76.8847,Karnal,Haryana,unknown
132022,Nalipar,29.7169,77.0947,Karnal,Haryana,unknown
132023,Tikri,29.7355,77.0093,Karnal,Haryana,unknown
132024,Manjura,29.6966,76.7901,Karnal,Haryana,unknown
132036,Picholia,29.5993,76.8684,Karnal,Haryana,unknown
132037,Nagla Megha,29.6234,77.0661,Karnal,Haryana,unknown
132039,Rahra,29.5708,76.6115,Karnal,Haryana,unknown
132040,Ballah,29.5187,76.8496,Karnal,Haryana,unknown
132041,Indri,29.88,77.0597,Karnal,Haryana,unknown
132046,Phaphrana,29.5181,76.7243,Karnal,Haryana,unknown
132054,Biana,29.8399,77.1166,Karnal,Haryana,unknown
132101,Kiwana,29.2254,76.9817,Panipat,Haryana,unknown
132102,Bhodwal Majri,29.1967,77.0158,Panipat,Haryana,unknown
132103,Panipat N.S.M.,29.3882,76.9586,Panipat,Haryana,unknown
132104,Barana,29.3326,76.9263,Panipat,Haryana,unknown
132105,Panipat Thermal Project,29.3636,76.8598,Panipat,Haryana,unknown
132106,Panipat NFL,29.3326,76.9263,Panipat,Haryana,unknown
132107,Mandi,29.2463,76.8957,Panipat,Haryana,unknown
132108,Panipat Beas Project,29.3139,76.9717,Panipat,Haryana,unknown
132113,Bhandari,29.3326,76.9263,Panipat,Haryana,unknown
132114,Lalupura,29.5713,77.0914,Karnal,Haryana,unknown
132115,Raksera,29.2269,77.1181,Panipat,Haryana,unknown
132116,Saunkra,29.7958,76.8709,Karnal,Haryana,unknown
132117,Bairsal,29.9041,76.9461,Karnal,Haryana,unknown
132122,Khojkipur,29.3326,76.9263,Panipat,Haryana,unknown
132140,Kabri,29.4278,76.9397,Panipat,Haryana,unknown
132145,Dahar,29.3326,76.9263,Panipat,Haryana,unknown
132157,Sitamai,29.8152,76.7147,Karnal,Haryana,unknown
133001,Gobind Nagar,30.2901,76.8908,Ambala,Haryana,unknown
133004,Dukheri,30.2782,76.881,Ambala,Haryana,unknown
133005,Boh,30.2901,76.8908,Ambala,Haryana,unknown
133006,Ind-estate,30.2901,76.8908,Ambala,Haryana,unknown
133008,Majri,30.3935,77.0121,Ambala,Haryana,unknown
133010,Defence Colony,30.3285,76.9422,Ambala,Haryana,unknown
133101,Bihta (Ambala),30.2757,76.9551,Ambala,Haryana,unknown
133102,Landa,30.2396,76.8943,Ambala,Haryana,unknown
133103,Hangoli,30.2364,77.305,Yamuna Nagar,Haryana,unknown
133104,Khudda Kalan,30.3196,76.969,Ambala,Haryana,unknown
133201,Holi,30.2356,77.0736,Ambala,Haryana,unknown
133202,Saran,30.3285,76.9422,Ambala,Haryana,unknown
133203,Gokal Garh,30.2573,76.9239,Ambala,Haryana,unknown
133204,Safilpur,30.407,77.2903,Yamuna Nagar,Haryana,unknown
133205,Adhoyi,30.3285,76.9422,Ambala,Haryana,unknown
133206,Haibatpur,30.2904,77.2251,Yamuna Nagar,Haryana,unknown
133207,Mullana Engineering College,30.277,77.0726,Ambala,Haryana,unknown
133301,B.C.W. Suraj Pur,30.8398,76.9406,Panchkula,Haryana,unknown
133302,Kalka R.S.,30.8398,76.9406,Panchkula,Haryana,unknown
134003,D.A.V.College,30.2792,76.7113,Ambala,Haryana,unknown
134005,Jandli,30.3571,76.7964,Ambala,Haryana,unknown
134007,Dhulkot,30.3722,76.8048,Ambala,Haryana,unknown
134008,Naggal,30.2371,76.6718,Ambala,Haryana,unknown
134101,H.M.T.Pinjore,30.7987,76.9182,Panchkula,Haryana,unknown
134102,Mallah,30.7987,76.9182,Panchkula,Haryana,unknown
134103,I.T.B.P.  Bhanu,30.7987,76.9182,Panchkula,Haryana,unknown
134104,C.R.P.F. Pinjore,30.7987,76.9182,Panchkula,Haryana,unknown
134105,Amravati Enclave,30.7987,76.9182,Panchkula,Haryana,unknown
134107,Chandi Mandir Cantt,30.7987,76.9182,Panchkula,Haryana,unknown
134108,G.K. Panchkula,30.7987,76.9182,Panchkula,Haryana,unknown
134109,Panchkula Sector 8,30.7987,76.9182,Panchkula,Haryana,unknown
134112,Panchkula Sector 12,30.686,76.9776,Panchkula,Haryana,unknown
134113,Sector 15 Panchkula,30.686,76.9776,Panchkula,Haryana,unknown
134114,Mansa  Devi Sec-5,30.686,76.9776,Panchkula,Haryana,unknown
134116,Sector-26 Panchkula,30.686,76.9776,Panchkula,Haryana,unknown
134117,Sector 20 Panchkula,30.686,76.9776,Panchkula,Haryana,unknown
134118,Raiwali,30.686,76.9776,Panchkula,Haryana,unknown
134201,Patwi,30.4356,76.9543,Ambala,Haryana,unknown
134202,Shahzadpur,30.4459,77.0337,Ambala,Haryana,unknown
134203,Bhadauli,30.686,76.9776,Panchkula,Haryana,unknown
134204,Raipur Rani,30.5856,77.0218,Panchkula,Haryana,unknown
134205,Morni,30.6874,77.0885,Panchkula,Haryana,unknown
135001,Mud Hut Colony,30.0075,77.2266,Yamuna Nagar,Haryana,unknown
135002,Damla,30.0919,77.2214,Yamuna Nagar,Haryana,unknown
135003,Jagadhri Court,30.1888,77.2857,Yamuna Nagar,Haryana,unknown
135004,Kerera Khurd,30.3285,76.9422,Ambala,Haryana,unknown
135021,Muzafatkalan,30.274,77.4561,Yamuna Nagar,Haryana,unknown
135101,Mehar Majra,30.2184,77.2126,Yamuna Nagar,Haryana,unknown
135102,Basatianwala,30.2099,77.209,Yamuna Nagar,Haryana,unknown
135103,Balachaur,30.2244,77.3609,Yamuna Nagar,Haryana,unknown
135106,Pipli Majra,30.2602,77.4413,Yamuna Nagar,Haryana,unknown
